iter	MultiClass
0	3.980541113
1	3.412076039
2	2.999147157
3	2.770100081
4	2.607965063
5	2.480602244
6	2.368808444
7	2.273598712
8	2.176064622
9	2.081691959
10	2.012056674
11	1.944185295
12	1.875634809
13	1.802704222
14	1.739760246
15	1.684511652
16	1.623579259
17	1.563952052
18	1.512401783
19	1.458260549
20	1.400589926
21	1.349001341
22	1.310137789
23	1.271552918
24	1.220590774
25	1.18669024
26	1.143245555
27	1.104933359
28	1.057843037
29	1.005989453
30	0.9647651332
31	0.931078068
32	0.9023546261
33	0.8680673397
34	0.8415277624
35	0.8088516782
36	0.7947509083
37	0.763617122
38	0.7355459097
39	0.7085911315
40	0.6844299418
41	0.6592954921
42	0.6387261703
43	0.6170666479
44	0.5870988171
45	0.5648893459
46	0.5433116334
47	0.5230315509
48	0.504072981
49	0.4831163283
50	0.4682253793
51	0.4512499384
52	0.44552243
53	0.4312060805
54	0.4202694301
55	0.4032719667
56	0.3920242755
57	0.381095975
58	0.3731647923
59	0.3689064374
60	0.3584560465
61	0.3450933841
62	0.333377751
63	0.3268445126
64	0.3196542305
65	0.3085169683
66	0.3003420299
67	0.2909587777
68	0.2841164147
69	0.277868907
70	0.2743865471
71	0.2663898669
72	0.2626821145
73	0.2544315646
74	0.2491500143
75	0.2434790873
76	0.2426643804
77	0.2389716786
78	0.2317554092
79	0.226059728
80	0.2222905849
81	0.2197722014
82	0.2142703922
83	0.2105426815
84	0.2077129369
85	0.2031267785
86	0.1988082559
87	0.1938017442
88	0.1914689926
89	0.1877030185
90	0.1833067299
91	0.1789151766
92	0.1770367519
93	0.1728607666
94	0.1695438875
95	0.1675734682
96	0.1636390401
97	0.1603652432
98	0.1572874461
99	0.1545423487
