iter	Passed	Remaining
0	197	19538
1	340	16680
2	486	15714
3	629	15108
4	773	14691
5	916	14360
6	1102	14651
7	1239	14249
8	1382	13978
9	1536	13826
10	1670	13514
11	1809	13267
12	1956	13093
13	2098	12892
14	2232	12649
15	2358	12382
16	2503	12225
17	2645	12052
18	2780	11852
19	2919	11679
20	3060	11513
21	3199	11343
22	3328	11143
23	3456	10944
24	3595	10787
25	3723	10597
26	3864	10448
27	3994	10271
28	4138	10132
29	4279	9986
30	4427	9854
31	4558	9686
32	4686	9514
33	4819	9356
34	4952	9197
35	5095	9057
36	5222	8892
37	5366	8756
38	5500	8602
39	5640	8461
40	5778	8315
41	5922	8179
42	6070	8046
43	6210	7904
44	6366	7781
45	6514	7646
46	6654	7504
47	6795	7361
48	6937	7220
49	7080	7080
50	7207	6924
51	7367	6800
52	7509	6659
53	7661	6526
54	7799	6381
55	7947	6244
56	8076	6093
57	8207	5943
58	8338	5794
59	8461	5640
60	8604	5501
61	8744	5359
62	8897	5225
63	9031	5080
64	9166	4935
65	9313	4797
66	9449	4654
67	9587	4511
68	9720	4367
69	9856	4224
70	9982	4077
71	10127	3938
72	10250	3791
73	10388	3650
74	10517	3505
75	10648	3362
76	10765	3215
77	10892	3072
78	11035	2933
79	11173	2793
80	11296	2649
81	11421	2507
82	11559	2367
83	11685	2225
84	11812	2084
85	11942	1944
86	12072	1803
87	12208	1664
88	12334	1524
89	12474	1386
90	12618	1248
91	12754	1109
92	12881	969
93	13034	831
94	13172	693
95	13297	554
96	13449	415
97	13587	277
98	13728	138
99	13864	0
